@relation auto-analyze-full

@attribute ID numeric
@attribute neg numeric
@attribute neu numeric
@attribute pos numeric
@attribute compound numeric
@attribute class {negative,positive,neutral}

@data
21539,0.062,0.829,0.109,0.6501,negative
72377,0.017,0.763,0.22,0.9481,positive
9789,0,0.706,0.294,0.7684,neutral
7839,0.05,0.895,0.056,0.0541,neutral
43048,0,0.518,0.482,0.9559,positive
32685,0.06,0.94,0,-0.3041,negative
12336,0.025,0.848,0.127,0.7881,positive
53459,0.106,0.761,0.133,0.6853,positive
55165,0.059,0.719,0.222,0.9365,positive
49969,0.043,0.837,0.12,0.3716,positive
46750,0.099,0.763,0.139,0.7305,neutral
16093,0,0.894,0.106,0.8547,positive
7134,0,0.787,0.213,0.807,positive
30475,0,0.675,0.325,0.9464,positive
30684,0.031,0.901,0.068,0.8627,positive
39839,0.035,0.752,0.213,0.9808,negative
62514,0,0.597,0.403,0.8957,positive
29174,0.149,0.784,0.067,-0.6,neutral
26394,0,0.75,0.25,0.9685,positive
38307,0.015,0.819,0.166,0.9476,positive
9186,0.085,0.813,0.102,0.128,neutral
58230,0.084,0.804,0.112,0.4995,negative
62924,0.033,0.578,0.388,0.9729,positive
45348,0,0.899,0.101,0.8146,positive
50080,0,0.821,0.179,0.9852,positive
69382,0.006,0.756,0.238,0.9906,positive
53818,0.052,0.789,0.159,0.6109,positive
15530,0,1,0,0,positive
62273,0,0.651,0.349,0.986,positive
5458,0.042,0.828,0.129,0.9371,positive
11388,0.05,0.869,0.081,0.2425,negative
11884,0.054,0.765,0.181,0.5171,positive
54040,0.056,0.747,0.197,0.6293,positive
68832,0.18,0.802,0.019,-0.8922,neutral
13309,0.124,0.835,0.041,-0.6812,neutral
41716,0,0.825,0.175,0.9714,positive
3110,0.106,0.569,0.325,0.9274,neutral
43311,0.051,0.819,0.13,0.7544,positive
9259,0.054,0.911,0.036,-0.3682,negative
18863,0.04,0.898,0.062,0.4269,negative
51555,0.035,0.716,0.249,0.9894,positive
49092,0.014,0.714,0.272,0.9953,neutral
57492,0.061,0.792,0.148,0.8979,positive
10100,0.205,0.795,0,-0.7871,negative
9742,0,0.783,0.217,0.8737,positive
34027,0.01,0.933,0.057,0.8338,negative
24129,0,0.897,0.103,0.6705,positive
47498,0.076,0.686,0.238,0.9362,neutral
34784,0,0.492,0.508,0.9816,positive
2985,0,0.738,0.262,0.9819,positive
17432,0.092,0.895,0.013,-0.8879,negative
25611,0.2,0.8,0,-0.4575,negative
64476,0.064,0.674,0.262,0.906,positive
31858,0,0.865,0.135,0.7807,positive
18206,0.036,0.71,0.254,0.9896,positive
35638,0,0.808,0.192,0.8429,positive
10041,0.032,0.787,0.181,0.9099,positive
65026,0.048,0.78,0.172,0.7726,positive
36905,0.105,0.829,0.066,-0.3653,negative
22919,0.08,0.821,0.1,0.6965,negative
68351,0,1,0,0,negative
47251,0,0.826,0.174,0.9803,neutral
42663,0.05,0.604,0.346,0.9807,positive
67018,0.049,0.702,0.249,0.8555,neutral
57373,0.021,0.749,0.23,0.9858,positive
34081,0.066,0.849,0.085,0.34,negative
21090,0.133,0.819,0.048,-0.8968,neutral
38605,0,0.769,0.231,0.9263,positive
51710,0,0.695,0.305,0.9846,positive
30178,0.1,0.869,0.031,-0.5927,negative
33092,0.068,0.685,0.247,0.9083,positive
26079,0.048,0.741,0.211,0.8176,positive
614,0.044,0.762,0.194,0.9265,positive
8064,0.137,0.763,0.1,-0.3619,neutral
18773,0.079,0.813,0.108,0.6188,negative
1168,0,0.615,0.385,0.969,positive
32046,0,0.736,0.264,0.8702,positive
35307,0,0.815,0.185,0.9736,neutral
37206,0.033,0.707,0.26,0.9884,positive
45319,0,0.813,0.187,0.9661,neutral
23420,0,0.885,0.115,0.5994,positive
41960,0.141,0.859,0,-0.8255,negative
34861,0,0.835,0.165,0.6908,positive
19555,0.057,0.833,0.109,0.4215,negative
68751,0.028,0.876,0.096,0.7428,neutral
13481,0.042,0.909,0.049,0.203,positive
52857,0.109,0.891,0,-0.6808,negative
53343,0,0.894,0.106,0.3313,negative
69501,0,0.728,0.272,0.9639,positive
33024,0.078,0.862,0.06,-0.2756,negative
40344,0.079,0.832,0.089,0.1531,negative
38799,0.042,0.811,0.147,0.7717,negative
39785,0.158,0.802,0.04,-0.7862,negative
65778,0.015,0.844,0.141,0.965,neutral
30087,0.13,0.593,0.277,0.5727,positive
42613,0.128,0.846,0.026,-0.6381,neutral
37875,0.048,0.952,0,-0.1655,negative
52838,0.06,0.736,0.204,0.9652,positive
24024,0,0.912,0.088,0.4588,positive
35799,0.128,0.829,0.043,-0.6732,negative
37852,0.17,0.742,0.088,-0.8335,negative
53537,0.088,0.814,0.097,0.2006,positive
27487,0,0.619,0.381,0.9726,positive
24641,0.06,0.885,0.054,-0.0772,negative
22228,0.126,0.74,0.134,0.099,neutral
6980,0.019,0.774,0.207,0.9851,neutral
64799,0.018,0.833,0.149,0.9545,positive
47384,0.031,0.809,0.16,0.9322,positive
42503,0,0.715,0.285,0.9466,positive
19327,0.063,0.834,0.103,0.8211,positive
37102,0.164,0.739,0.097,-0.5414,negative
62515,0,0.731,0.269,0.7906,positive
45761,0.111,0.766,0.123,0.2368,neutral
55123,0.073,0.785,0.142,0.8735,positive
31234,0.042,0.864,0.094,0.7859,positive
53591,0.086,0.842,0.072,-0.1303,positive
44108,0,0.796,0.204,0.9274,positive
28903,0,0.871,0.129,0.7003,negative
42466,0,0.599,0.401,0.985,positive
8581,0.128,0.523,0.349,0.9021,positive
21995,0.022,0.781,0.198,0.9813,positive
57885,0.103,0.713,0.184,0.6711,positive
71946,0,0.886,0.114,0.4019,neutral
66363,0.078,0.804,0.118,0.7616,neutral
33181,0.036,0.712,0.253,0.9042,negative
8299,0.123,0.796,0.082,0.0387,negative
64777,0.119,0.812,0.07,-0.438,negative
9472,0.084,0.519,0.397,0.8975,positive
8384,0.222,0.778,0,-0.6908,negative
62243,0.028,0.718,0.254,0.9474,positive
41048,0.096,0.634,0.27,0.9136,positive
22318,0,0.808,0.192,0.7163,positive
70541,0.034,0.853,0.114,0.7845,positive
46999,0,0.637,0.363,0.6908,neutral
7762,0,0.779,0.221,0.8769,positive
36139,0,0.939,0.061,0.5399,negative
9153,0,0.949,0.051,0.1926,negative
40553,0,0.643,0.357,0.8779,positive
48469,0.017,0.824,0.158,0.9634,neutral
67993,0.184,0.759,0.057,-0.95,negative
67906,0,0.522,0.478,0.8091,positive
51783,0.019,0.82,0.161,0.9625,neutral
32785,0.073,0.849,0.078,-0.0121,negative
31247,0.099,0.781,0.12,0.5107,negative
61818,0,0.671,0.329,0.9825,positive
45493,0.03,0.764,0.205,0.9001,neutral
32560,0,0.795,0.205,0.9074,positive
71889,0,0.692,0.308,0.9438,positive
69071,0.051,0.749,0.2,0.7644,positive
47813,0.021,0.865,0.113,0.9302,neutral
31230,0,0.684,0.316,0.9231,positive
1838,0,0.879,0.121,0.8718,positive
58979,0,0.701,0.299,0.8268,positive
27880,0.224,0.776,0,-0.6561,neutral
32739,0.144,0.778,0.079,-0.6271,negative
61488,0,0.876,0.124,0.8309,positive
37617,0.104,0.799,0.096,-0.2453,negative
63494,0.203,0.797,0,-0.5142,negative
