Amy Grant,Christmas Can't Be Very Far Away,/a/amy+grant/christmas+cant+be+very+far+away_20007598.html,"Little bits of heaven  
Floating gently by the window  
Soon this dirty city will be  
Covered with a new snow  
  
Let's put on our winter boots  
Go outside and play  
Christmas can't be very far away  
  
Weather girl says bundle up  
It's gonna be a cold one  
I'll put on my wooly hat  
You'll wear your dad's old Stetson  
  
Pretty lights are everywhere  
Shining night and day  
Christams can't be very far away  
  
Let's take a walk downtown and  
Go dream shopping in the mall  
The kids can do the Santa thing  
Photographs and all  
  
We'll get the biggest tree this year  
And trim it to the top  
And spend a whole lot more  
Than what we've got  
But so what  
  
Come next spring  
I know we will be  
Ready for the sunshine  
Right now throwin' snowballs  
At each other's such a fun time  
  
Kids will think we're crazy  
For awhile and that's okay  
Christmas can't be very far away  
Christmas can't be very far away

"
Britney Spears,I Wanna Go,/b/britney+spears/i+wanna+go_20901284.html,"Lately I been stuck imagining  
What I wanna do and what I really think,  
Time to flow out  
Be a little inappropriate  
'Cause I know that everybody's thinkin' it  
When the lights out  
  
Shame on me  
To need release  
Uncontrollably  
  
[Chorus: x2]  
I wanna go all the way  
Taking out my freak tonight  
I wanna show  
All the dirt  
I am running through my mind  
  
Lately people got me all tied up  
There's a countdown waiting for me to erupt  
Time to blow out  
I've been told who I should do it with  
To keep both my hands above the blanket  
When the lights out  
  
Shame on me  
To need release  
Uncontrollably  
  
[Chorus: x2]  
  
Shame on me (shame on me)  
To need release (to need release)  
Uncontrollably (uncontrollably)  
  
[Chorus: x2]

"
Chris Brown,Fine By Me,/c/chris+brown/fine+by+me_21104651.html,"[Verse 1]  
She doesn't call before midnight, if at all  
Oh, she never stays to watch the night turn to day  
  
[Pre-Chorus]  
But I'm like use me baby, anyway you want  
I wish you were mine in the broad daylight  
But you just use me baby, anyway you want  
I wish you were mine but  
  
[Chorus]  
She only loves me when the lights are off, lights are off  
She only loves me when the sun is down, sun is down  
She only loves me when no one's around, one's around  
She only loves me cause I put it down  
And it's fine by me  
And it's fine by me  
  
[Verse 2]  
She's like the wind, she comes and goes and again  
All of my friends think I'm a fool, silly them  
  
[Pre-Chorus]  
But I'm like use me baby, anyway you want  
I wish you were mine in the broad daylight  
But you just use me baby, anyway you want  
I wish you were mine but  
  
[Chorus]  
She only loves me when the lights are off, lights are off  
She only loves me when the sun is down, sun is down  
She only loves me when no one's around, one's around  
She only loves me cause I put it down  
And it's fine by me  
And it's fine by me  
  
[Bridge]  
She knows I can take her there, afterwards she just don't care  
She knows I can take her there, afterwards she just don't care  
  
[Chorus]  
She only loves me when the lights are off, lights are off  
She only loves me when the sun is down, sun is down  
She only loves me when no one's around, one's around  
She only loves me cause I put it down  
You a freak, and it's fine by me  
You a freak, and it's fine by me  
And it's fine by me  
And it's fine by me  
And it's fine by me

"
Chris Rea,Hired Gun,/c/chris+rea/hired+gun_20030640.html,"Morning light meet the day  
Nervous eyes look both ways  
And it just won't matter, spring or fall  
There's bread to win and shots to call  
And there ain't nobody out there  
Just a wild uncertainty  
It's in your stride but it ain't no fun  
Sometimes I feel just like a hired gun  
I feel just like a hired gun  
Always on the run  
And how it started, well you can't recall  
Did someone push you, did someone stall  
Whatever the reasons there was lots to learn  
To get home safely and not get burned  
And it's all so cold and empty  
As you watch the setting sun  
You've picked up every dirty trick  
Just to keep yourself always on the run  
And I feel just like a hired gun  
Always on the run  
I dream of comfort and friendship long  
But I can't trust you or anyone  
The scars still hurt me and I don't let them heal  
Each one's a lesson, each one's a shield  
And I may even love you dearly  
And I loathe what I have to do  
You see I've picked up every dirty trick  
In my fear of you  
'cause you make me feel just like a hired gun  
Always on the run  

"
Chuck Berry,I Never Thought,/c/chuck+berry/i+never+thought_20514580.html,"You know I never really thought some things would ever really come to be  
'Cause I don't bother nobody and don't nobody bother me  
I went down in Mississippi, I asked Mister Charlie about my roots  
He said, Turn around, bend over, boy, they're right here in my boots  
You know I never thought a thing like that would ever really come to be  
'Cause I don't bother nobody and don't nobody bother me  
I asked a policeman the time, he swung and crowned me with his stock  
I managed to walk away so glad it weren't twelve o'clock  
You know I never thought a thing like that would ever really come to be  
'Cause I don't bother nobody and don't nobody bother me  
My girl friend's datin' this here guy who's goin' out with some man's wife  
I lost my girl, the wife her husband, the guy he lost his life  
You know I never thought a thing like that would ever really come to be  
'Cause I don't bother nobody and don't nobody bother me  
I used to have a Ford Torino and at that time I had a chick  
She used to get her kicks just askin' me to flick my Bic  
You know I never thought a thing like that would ever really come to be  
'Cause I don't bother nobody and don't nobody bother me  
My grandpa drove a horse and buggy but my father used the train  
I worked and bought a Cadillac but my son, he drives a plane  
You know I never thought a thing like that would ever really come to be  
'Cause I don't bother nobody and don't nobody bother me  
  

"
Chuck Berry,Mum's The Word,/c/chuck+berry/mums+the+word_20514566.html,"Mum's the word, don't start a ruckus, it's best Aunt Sue don't know  
''cause she's so proud, so if she finds out I reckon we ought alert Uncle Joe  
  
Mum's the word, don't start a ruckus, Aunt Sue don't know Uncle Joe  
If rumour starts 'bout what she's been doin', I reckon we ought alert Uncle
Joe  
  
Mum's the word, don't start a ruckus, Aunt Sue's been doing it, too  
They tell Uncle Joe everything they know, reckon we ought alert Aunt Sue  
''cause Uncle Joe's liable to hurt Aunt Sue  
  
Mum's the word, un-huh, she done heard, Aunt Sue started to turn him on  
Say I heard some talk, you ain't got no squawk, been checkin' out stone to
stone  
Just pack up and leave me alone

"
Cyndi Lauper,Hat Full Of Stars,/c/cyndi+lauper/hat+full+of+stars_20035128.html,"I was folding up your letters  
Unpacking winter clothes  
Searching for my hat  
I thought I left it by the door  
So I tore around the room  
Like a bird without a head  
I saw your picture waving back at me  
From underneath the bed  
From a long, long time ago  
  
When all I had  
Was a hat full of stars  
The one I'll always treasure  
The one that you wore  
You loved the look  
But you never looked inside  
You would have seen us there  
You could've seen far  
You should've seen the magic  
In my hat full of stars  
  
I'm trying to live in the present  
But I keep tripping on the past  
Finding out reality, well clarity  
Comes in dribs and drabs  
No we never had the time  
For everything we had  
So it felt like we had nothing  
That's what makes this hat so sad  
It was a long, long time ago  
  
When all we had  
Was a hat full of stars...  
You would have seen us there  
You could've seen far  
You should've seen the magic  
In my hat full of stars  
  
Now whenever I'm alone  
And I think I might forget  
I wear my lucky hat  
Just like a crown up on my head  
'Cause all I have  
Is a hat full of stars...  
If you could see me now  
You would've seen far  
You should've seen the magic  
In my hat full of stars...

"
Eric Clapton,Heads In Georgia,/e/eric+clapton/heads+in+georgia_20689313.html,"(feat. J. J. Cale)  
  
Well my heads in Georgia but my feet are California bound  
Well my heads in Georgia but my feet is California bound  
Cause that good looking woman I got wants to leave these Georgia towns  
  
Well we ride them old freight trains rent them automobiles  
For we ride them old freight trains and rent them automobiles  
Cause that good looking woman is tired of these old Georgia hills  
  
And that lonesome old highway seems to be our way no doubt  
And that lonesome old highway seems to be the way no doubt  
Cause that good looking woman and me, we just hanging out  
  
Trains and airplanes is all we do, I'm running half the time just like she
wants me to  
Makes me no difference to me when all is said and done, headed west toward the
setting sun  
  
Well my heads in Georgia but my feet is California bound  
Cause that good looking woman I got wants to leave these Georgia towns  
  
Well my heads in Georgia but my feet is California bound  
Well my heads in Georgia but my feet is California bound  
Cause that good looking I got wants to leave these Georgia towns  
  
Cause that good looking woman I got wants to leave these Georgia towns  
Good looking woman I got wants to leave these Georgia towns

"
Frank Sinatra,Elizabeth,/f/frank+sinatra/elizabeth_20056280.html,"Dressed in dreams for me  
You were what I wished to see  
Elizabeth, Elizabeth  
Love was very new  
Make believe was coming true  
Elizabeth, Elizabeth  
You were all much too much  
Out of reach and out of touch  
When you came to me  
I found it could never be  
Elizabeth, Elizabeth, Elizabeth  
So a dream has to end  
When it's real  
Not pretend  
Dressed in memories  
You are what you used to be  
Elizabeth, Elizabeth  
Elizabeth

"
Glen Campbell,He,/g/glen+campbell/he_20499561.html,"He can turn the ties and calm the angry sea  
He alone besides who writes a symphony  
He lights every star that makes a darkness bright  
He keeps watch all through each long and lonely night  
He still finds the time to hear a child's first prayer  
Saint or sinner call and always find him there  
Though it makes him sad to see the way we live he'll always say I forgive  
(He can grab a wish or make a dream come true)  
He can paint the clouds and turn the gray to blue)  
He alone knows where to find a rainbow's end  
He alone can see what lies beyond the bend  
He can touch a tree and turn the leaves to gold  
He knows every lie that you and I have told  
Though it makes him sad to see the way we live he'll always say I forgive

"
Hank Williams Jr.,Everytime I Hear That Song,/h/hank+williams+jr/everytime+i+hear+that+song_20336572.html,"I heard cowboys should never cry,  
But there are some things that bring tears to my eyes.  
Some old movies they've shown,  
Some old people all alone,  
And everytime I hear that song.  
  
Everytime I hear that song,  
I think of someone who is gone,  
And the hurtin' starts comin' on real strong,  
Everytime I hear that song.  
  
What makes big old boys like me,  
Get down on bended knee?  
And today's girl who's moving ahead,  
Stay at home all night crying in bed.  
It's those old loves that linger on,  
Just like some of those good old songs.  
  
Everytime I hear that song,  
I think of someone who is gone,  
And the hurtin' starts comin' on real strong,  
Everytime I hear that song.

"
Jimi Hendrix,Machine Gun,/j/jimi+hendrix/machine+gun_20071573.html,"Machine Gun  
Tearing my body all apart  
  
Machine Gun, yeah  
Tearing my body all apart  
  
Evil man make me kill ya  
Evil man make you kill me  
Evil man make me kill you  
Even though we're only families apart  
  
Well I pick up my axe and fight like a bomber  
(You know what I mean)  
Hey! And your bullets keep knocking me down  
  
Hey, I pick up my axe and fight like a bomber now  
Yeah, but you still blast me down to the ground  
  
The same way you shoot me down, baby  
you'll be going just the same  
Three times the pain,  
and your own self to blame  
Hey, Machine Gun  
  
I ain't afraid of your mess no more, babe  
I ain't afraid no more  
After a while, your, your cheap talk don't even cause me pain,  
so let your bullets fly like rain  
  
'Cause I know all the time you're wrong baby  
And you'll be going just the same  
Yeah, Machine Gun  
Tearing my family apart  
Yeah, yeah, alright  
Tearing my family apart  
  
(Don't you shoot him down)  
(He's 'bout to leave here)  
(Don't you shoot him down)  
(He's got to stay here)  
(He ain't going nowhere)  
(He's been shot down to the ground)  
(Oh where he can't survive, no, no)  
  
Yeah, that's what we don't want to hear anymore, alright  
(No bullets)  
At least here, huh huh  
(No guns, no bombs)  
Huh huh  
(No nothin', just let's all live and live)  
(You know, instead of killin')

"
